text,label
"hey bro",0
"good morning",0
"what's up",0
"haha that's funny",0
"okay thanks",0
"see you later",0
"how are you",0
"where are you",0
"lol",0
"nice",0
"send me the notes",1
"please submit the assignment today",1
"meeting is scheduled tomorrow at 10 AM",1
"your interview is on Monday at 2 PM",1
"don't forget to submit the form",1
"the project deadline is tomorrow",1
"please call me urgently",1
"exam is scheduled for Friday",1
"your payment is due tomorrow",1
"send the project report before 5 PM",1
"the professor changed the deadline",1
"your appointment is confirmed for Monday",1
"can you send me the document",1
"we need to discuss the project",1
"submit the DBMS assignment before 6 PM",1
"the practical exam is tomorrow",1
"college meeting at 9 AM",1
"please complete this task today",1
"the deadline has been moved to Friday",1
"your viva is scheduled tomorrow",1
"don't forget our meeting at 4 PM",1
"send the required documents",1
"you need to attend the meeting",1
"the registration form closes today",1
