text,label
"hey bro",0
"good morning",0
"what's up",0
"haha that's funny",0
"okay thanks",0
"see you later",0
"send me the notes",1
"please submit the assignment today",1
"meeting is scheduled tomorrow at 10 AM",1
"your interview is on Monday at 2 PM",1
"don't forget to submit the form",1
"the project deadline is tomorrow",1
"please call me urgently",1
"exam is scheduled for Friday",1
"your payment is due tomorrow",1
"send the project report before 5 PM",1
"the professor changed the deadline",1
"your appointment is confirmed for Monday",1
"can you send me the document",1
"we need to discuss the project",1
